running histogram
number of data points: 25011135
average: 0.228724
0.000000-1.000000: 0.259864
1.000000-2.000000: 0.133835
2.000000-3.000000: 0.071854
3.000000-4.000000: 0.039679
4.000000-5.000000: 0.022292
5.000000-6.000000: 0.012694
6.000000-7.000000: 0.007309
7.000000-8.000000: 0.004257
8.000000-9.000000: 0.002507
9.000000-10.000000: 0.001489
10.000000-11.000000: 0.000894
11.000000-12.000000: 0.000566
